t,u1,u2,u3
3.3433433,0.9288873,-0.7325664,0.6477093
3.3533533,0.92577887,-0.72669214,0.6618962
3.3633633,0.92262393,-0.7207127,0.67591655
3.3733733,0.91942406,-0.71463054,0.68977004
3.3833833,0.91618115,-0.70844895,0.70345473
3.3933933,0.91289777,-0.70217174,0.71696836
3.4034035,0.9095757,-0.69580084,0.73031116
3.4134135,0.9062174,-0.6893403,0.74348074
3.4234235,0.9028252,-0.6827926,0.7564779
3.4334335,0.8994007,-0.6761612,0.76929957
3.4434435,0.8959466,-0.6694487,0.78194755
3.4534535,0.8924651,-0.6626577,0.79441994
3.4634635,0.88895833,-0.65579194,0.80671555
3.4734735,0.88542855,-0.64885384,0.8188356
3.4834836,0.88187784,-0.6418466,0.8307783
3.4934936,0.8783086,-0.6347732,0.8425442
3.5035036,0.8747236,-0.6276352,0.8541327
3.5135136,0.87112486,-0.6204371,0.8655438
3.5235236,0.86751413,-0.6131807,0.8767778
3.5335336,0.86389464,-0.60586816,0.8878345
3.5435436,0.86026746,-0.5985032,0.898714
3.5535536,0.8566364,-0.5910879,0.9094154
3.5635636,0.85300297,-0.5836248,0.9199409
3.5735736,0.8493694,-0.5761152,0.9302891
3.5835836,0.84573805,-0.56856245,0.9404622
3.5935936,0.84211135,-0.5609692,0.95045775
3.6036036,0.8384918,-0.55333704,0.96027833
3.6136136,0.83488095,-0.54566866,0.96992415
3.6236236,0.83128196,-0.5379656,0.97939605
3.6336336,0.8276961,-0.53022975,0.9886933
3.6436436,0.8241265,-0.522464,0.99781746
3.6536536,0.8205747,-0.5146691,1.0067688
3.6636636,0.81704366,-0.50684756,1.0155483
3.6736736,0.81353426,-0.499001,1.0241559
3.6836836,0.8100499,-0.4911308,1.0325941
3.6936936,0.80659187,-0.4832388,1.0408614
3.7037036,0.8031629,-0.4753264,1.0489596
3.7137136,0.79976445,-0.46739504,1.0568902
3.7237236,0.79639924,-0.45944616,1.0646528
3.7337337,0.79306906,-0.45148095,1.0722493
3.7437437,0.7897748,-0.44350037,1.07968
3.7537537,0.78651935,-0.4355063,1.086946
3.7637637,0.783305,-0.42749915,1.0940486
3.7737737,0.78013265,-0.41948077,1.1009873
3.7837837,0.7770046,-0.41145143,1.1077645
3.7937937,0.77392286,-0.40341172,1.1143806
3.803804,0.7708884,-0.39536306,1.1208359
3.813814,0.76790303,-0.38730618,1.1271333
3.823824,0.76496917,-0.37924132,1.1332711
3.833834,0.7620877,-0.37116978,1.1392527
3.843844,0.75925994,-0.36309156,1.1450772
3.853854,0.7564882,-0.35500762,1.150747
3.863864,0.7537733,-0.34691748,1.1562622
3.873874,0.75111675,-0.33882293,1.1616244
3.883884,0.74852043,-0.3307235,1.1668338
3.893894,0.7459848,-0.32261965,1.1718919
3.903904,0.74351126,-0.3145109,1.1767999
3.913914,0.74110144,-0.30639932,1.1815578
3.923924,0.738756,-0.29828343,1.1861674
3.933934,0.736476,-0.2901636,1.1906298
3.943944,0.7342631,-0.28204045,1.194945
3.953954,0.7321172,-0.27391347,1.1991152
3.963964,0.73004055,-0.2657834,1.2031395
3.973974,0.72803295,-0.25764915,1.2070205
3.983984,0.7260955,-0.24951181,1.2107589
3.993994,0.72422904,-0.24137089,1.2143544
4.004004,0.72243434,-0.2332258,1.2178098
4.0140142,0.7207119,-0.22507569,1.2211233
4.024024,0.7190624,-0.21692273,1.2242976
4.0340343,0.71748626,-0.208765,1.2273337
4.044044,0.7159841,-0.2006025,1.230231
4.0540543,0.714556,-0.19243559,1.2329916
4.064064,0.7132035,-0.18426332,1.2356153
4.0740743,0.71192545,-0.1760858,1.238103
4.084084,0.71072274,-0.16790292,1.2404556
4.0940943,0.7095956,-0.15971348,1.242674
4.104104,0.70854414,-0.15151843,1.2447581
4.1141143,0.707569,-0.14331707,1.2467096
4.124124,0.70666933,-0.1351088,1.2485282
4.1341343,0.7058461,-0.12689361,1.2502143
4.144144,0.70509857,-0.11867126,1.2517688
4.1541543,0.70442706,-0.110440336,1.2531928
4.164164,0.7038312,-0.102202974,1.254486
4.1741743,0.7033113,-0.09395643,1.255649
4.184184,0.7028668,-0.085701905,1.256683
4.1941943,0.70249796,-0.07743844,1.2575867
4.204204,0.7022034,-0.06916579,1.2583615
4.2142143,0.7019836,-0.06088432,1.2590082
4.224224,0.701838,-0.052593194,1.2595258
4.2342343,0.7017664,-0.044292174,1.2599156
4.244244,0.7017681,-0.035981975,1.2601773
4.2542543,0.701843,-0.027661167,1.2603108
4.264264,0.70198965,-0.019330584,1.2603174
4.2742743,0.7022084,-0.010989867,1.260196
4.284284,0.7024986,-0.002638422,1.2599468
4.2942944,0.70285916,0.0057235137,1.2595707
4.304304,0.7032898,0.014096297,1.259067
4.3143144,0.7037895,0.022479333,1.2584361
4.324324,0.70435756,0.03087262,1.2576771
4.3343344,0.7049938,0.039277233,1.2567902
4.344344,0.70569605,0.047691382,1.2557753
4.3543544,0.7064649,0.056117333,1.2546335
4.364364,0.7072988,0.064552344,1.2533627
4.3743744,0.7081975,0.072998084,1.2519635
4.384384,0.7091589,0.081453,1.250436
4.3943944,0.71018356,0.08991865,1.2487782
4.4044046,0.7112691,0.09839407,1.246991
