epoch,parameter1,parameter2,parameter3,parameter4,parameter5,parameter6,parameter7,parameter8,parameter9,parameter10,parameter11,parameter12,parameter13
156,1.1535149,1.0938442,0.3643398,0.64275926,0.065749146,0.15757447,2.6901078,1.4847071,2.9261565,0.827755,0.41432482,1.77558,0.05362684
157,1.1526424,1.091992,0.36296937,0.64110875,0.06518739,0.15686108,2.700132,1.4864672,2.9319932,0.8286319,0.4144906,1.7766186,0.052218046
158,1.1517746,1.090081,0.3616094,0.6397705,0.06479515,0.15603627,2.7101624,1.487968,2.937833,0.8291498,0.41461238,1.7776382,0.05084569
159,1.1508118,1.0881193,0.36049393,0.6383172,0.064410806,0.15528946,2.7200367,1.4896321,2.9435234,0.830147,0.41486365,1.7784479,0.04985488
160,1.150005,1.0860213,0.35996363,0.63637984,0.063824885,0.15451469,2.7299972,1.4911534,2.949373,0.8307085,0.4152288,1.779149,0.0490907
161,1.1491737,1.0840276,0.35888436,0.6346426,0.06345292,0.15388927,2.7400908,1.4927529,2.9551764,0.8315498,0.41564298,1.7798905,0.048390172
162,1.1483217,1.0819367,0.35802606,0.6328069,0.0631064,0.15331501,2.7500463,1.4944826,2.9610138,0.83193946,0.4161632,1.7805063,0.047860112
163,1.1475337,1.0799253,0.3572571,0.6310118,0.06258246,0.15249419,2.7599938,1.4960082,2.9666417,0.8333278,0.41635406,1.7814083,0.046706393
164,1.1465671,1.0782127,0.35585567,0.6297565,0.06211837,0.15177967,2.7698853,1.4977756,2.972373,0.83408767,0.41638526,1.7825174,0.0451774
165,1.1456981,1.0764041,0.3548355,0.62790424,0.06154988,0.1510953,2.7800846,1.4994793,2.9781418,0.83497506,0.41670534,1.7834494,0.04413037
166,1.1448532,1.0744299,0.35330722,0.6266379,0.061211176,0.15047799,2.7899768,1.5010501,2.9839642,0.8350533,0.41673496,1.7844378,0.04274377
167,1.1440048,1.0722216,0.35292575,0.6245933,0.060855888,0.14995068,2.7999284,1.5027493,2.9897494,0.8356015,0.41743335,1.7848293,0.04265353
168,1.1432137,1.0700581,0.35277405,0.62250143,0.060517192,0.14939468,2.8098333,1.5044981,2.995516,0.83626485,0.41819593,1.7852365,0.042579137
169,1.1424447,1.0680933,0.35186684,0.6207202,0.06016529,0.14886089,2.819723,1.5061705,3.0011668,0.8371417,0.41870973,1.7858905,0.04202247
170,1.1416585,1.0662082,0.35069615,0.61908543,0.05967677,0.14829907,2.8296187,1.5077792,3.006742,0.83814275,0.41906112,1.7867315,0.041091997
