t,u1,u2,u3
8.718718718718719174e+00,8.881867316866552953e-01,-6.875596638908652025e-01,7.742373066257332015e-01
8.728728728728729180e+00,8.860862161884529575e-01,-6.807562936167009804e-01,7.862964024444175637e-01
8.738738738738739187e+00,8.839720621459939975e-01,-6.738581075731242542e-01,7.982068078537867262e-01
8.748748748748749193e+00,8.818452139286828695e-01,-6.668666362668982384e-01,8.099676667109395600e-01
8.758758758758759200e+00,8.797066143721257170e-01,-6.597834209432575925e-01,8.215781961768858777e-01
8.768768768768769206e+00,8.775572047781299290e-01,-6.526100135859085327e-01,8.330376867165469879e-01
8.778778778778779213e+00,8.753979249147052499e-01,-6.453479769170283875e-01,8.443455020987544746e-01
8.788788788788789219e+00,8.732297130160625587e-01,-6.379988843972661527e-01,8.555010793962516402e-01
8.798798798798799226e+00,8.710535057826145344e-01,-6.305643202257421587e-01,8.665039289856919513e-01
8.808808808808809232e+00,8.688702383809755458e-01,-6.230458793400481809e-01,8.773536345476411480e-01
8.818818818818819238e+00,8.666808444439617620e-01,-6.154451674162474406e-01,8.880498530665748014e-01
8.828828828828829245e+00,8.644862560705908194e-01,-6.077638008688748261e-01,8.985923148308798680e-01
8.838838838838839251e+00,8.622874038260821550e-01,-6.000034068509358942e-01,9.089808234328551340e-01
8.848848848848849258e+00,8.600852167418567840e-01,-5.921656232539085352e-01,9.192152557687085501e-01
8.858858858858859264e+00,8.578806223155375221e-01,-5.842520987077416406e-01,9.292955620385612292e-01
8.868868868868869271e+00,8.556745465109485416e-01,-5.762644925808554364e-01,9.392217657464436709e-01
8.878878878878879277e+00,8.534679137581162589e-01,-5.682044749801415939e-01,9.489939637002979822e-01
8.888888888888889284e+00,8.512616469532681140e-01,-5.600737267509635631e-01,9.586123260119780998e-01
8.898898898898899290e+00,8.490594913317370818e-01,-5.518766054859651771e-01,9.680751552546050798e-01
8.908908908908909297e+00,8.468714431145822896e-01,-5.436231129124807770e-01,9.773763841067485414e-01
8.918918918918919303e+00,8.446992475135582934e-01,-5.353151714997167465e-01,9.865154828111571961e-01
8.928928928928929309e+00,8.425439643044458915e-01,-5.269540529327995104e-01,9.954923858362557665e-01
8.938938938938939316e+00,8.404066349225690624e-01,-5.185410182096723553e-01,1.004307038315507050e+00
8.948948948948949322e+00,8.382882824627951868e-01,-5.100773176410947629e-01,1.012959396047411476e+00
8.958958958958959329e+00,8.361899116795351583e-01,-5.015641908506429658e-01,1.021449425495507768e+00
8.968968968968969335e+00,8.341125089867432729e-01,-4.930028667747098359e-01,1.029777103788372505e+00
8.978978978978979342e+00,8.320570424579171176e-01,-4.843945636625046625e-01,1.037942418719620452e+00
8.988988988988989348e+00,8.300244618260980145e-01,-4.757404890760533744e-01,1.045945368747903892e+00
8.998998998998999355e+00,8.280156984838702439e-01,-4.670418398901983736e-01,1.053785962996913295e+00
9.009009009009009361e+00,8.260316654833617100e-01,-4.582998022925987569e-01,1.061464221255377094e+00
9.019019019019019368e+00,8.240732575362440526e-01,-4.495155517837300385e-01,1.068980173977061465e+00
9.029029029029029374e+00,8.221413510137317582e-01,-4.406902531768843723e-01,1.076333862280770992e+00
9.039039039039039380e+00,8.202368039465830485e-01,-4.318250605981705514e-01,1.083525337950348000e+00
9.049049049049049387e+00,8.183604560250996585e-01,-4.229211174865137868e-01,1.090554663434672333e+00
