t,u1,u2,f1,f2
3.973974,2.8601205,0.7413814,0.38472167,-0.50065494
3.983984,2.859792,0.74341816,0.3838819,-0.50152475
3.993994,2.859342,0.74544835,0.38301605,-0.50240153
4.004004,2.8587735,0.7474705,0.38212433,-0.50328535
4.0140142,2.8580873,0.74948406,0.3812071,-0.50417566
4.024024,2.857284,0.7514882,0.38026416,-0.505072
4.0340343,2.8563654,0.75348264,0.37929547,-0.50597465
4.044044,2.8553336,0.7554661,0.37830213,-0.50688344
4.0540543,2.8541892,0.7574386,0.3772831,-0.5077974
4.064064,2.8529341,0.7593988,0.37623924,-0.5087174
4.0740743,2.8515694,0.7613469,0.37517074,-0.50964296
4.084084,2.850098,0.7632813,0.37407786,-0.510573
4.0940943,2.8485196,0.76520276,0.37296036,-0.5115085
4.104104,2.8468382,0.7671102,0.3718189,-0.51244867
4.1141143,2.8450534,0.76900315,0.37065363,-0.5133934
4.124124,2.8431687,0.7708815,0.36946487,-0.51434225
4.1341343,2.8411853,0.77274436,0.36825317,-0.5152955
4.144144,2.839105,0.7745919,0.36701846,-0.516253
4.1541543,2.8369296,0.7764235,0.36576116,-0.51721406
4.164164,2.834662,0.77823865,0.3644814,-0.5181785
4.1741743,2.8323035,0.7800375,0.36318016,-0.5191461
4.184184,2.8298562,0.78181934,0.36185718,-0.52011716
4.1941943,2.8273222,0.7835848,0.36051315,-0.52109164
4.204204,2.824705,0.785332,0.35914814,-0.5220681
4.2142143,2.822004,0.7870623,0.35776272,-0.52304745
4.224224,2.8192246,0.7887747,0.3563576,-0.524029
4.2342343,2.8163667,0.7904693,0.35493273,-0.52501285
4.244244,2.813434,0.79214567,0.35348877,-0.5259984
4.2542543,2.8104284,0.7938037,0.35202608,-0.52698576
4.264264,2.8073528,0.7954429,0.35054514,-0.52797484
4.2742743,2.804209,0.7970638,0.34904647,-0.52896506
4.284284,2.8009994,0.79866546,0.3475304,-0.52995634
4.2942944,2.7977273,0.8002485,0.34599736,-0.53094834
4.304304,2.7943947,0.80181235,0.34444833,-0.5319411
4.3143144,2.7910042,0.80335695,0.34288323,-0.5329344
4.324324,2.7875586,0.80488163,0.3413028,-0.53392804
4.3343344,2.78406,0.8063871,0.33970702,-0.5349212
4.344344,2.7805119,0.8078725,0.33809745,-0.5359144
4.3543544,2.776916,0.8093384,0.33647358,-0.53690726
4.364364,2.7732759,0.81078404,0.33483678,-0.53789955
4.3743744,2.7695937,0.8122096,0.33318698,-0.53889066
4.384384,2.7658722,0.81361514,0.33152485,-0.539881
4.3943944,2.7621148,0.81499994,0.329851,-0.5408701
4.4044046,2.7583225,0.8163645,0.32816577,-0.54185766
4.4144144,2.7545002,0.81770796,0.32647002,-0.5428435
4.4244246,2.7506497,0.81903094,0.32476413,-0.5438279
4.4344344,2.746773,0.8203331,0.3230484,-0.54480934
4.4444447,2.7428744,0.82161385,0.32132387,-0.5457894
4.4544544,2.7389553,0.8228739,0.31959075,-0.5467665
4.4644647,2.7350192,0.8241122,0.31784946,-0.5477409
4.4744744,2.7310693,0.82532907,0.31610104,-0.5487126
4.4844847,2.7271063,0.82652456,0.3143454,-0.5496812
4.4944944,2.7231355,0.82769823,0.3125834,-0.5506464
4.5045047,2.7191586,0.8288499,0.31081575,-0.5516085
4.5145144,2.7151778,0.82997984,0.30904293,-0.5525667
4.5245247,2.7111964,0.83108747,0.30726504,-0.5535213
4.5345345,2.707217,0.83217275,0.30548325,-0.5544718
4.5445447,2.7032418,0.83323586,0.30369753,-0.555418
4.5545545,2.6992745,0.8342763,0.3019088,-0.5563601
